# --- TILES ---
tile 0 0
tile 1 0
tile 2 0
tile 3 0
tile 4 0
tile 5 0
tile 6 0
tile 7 0
tile 8 0
tile 9 0
tile 10 0
tile 11 0
tile 12 0
tile 13 0
tile 14 0
tile 15 0
tile 0 1
tile 15 1
tile 0 2
tile 15 2
tile 0 3
tile 15 3
tile 0 4
tile 15 4
tile 0 5
tile 15 5
tile 0 6
tile 15 6
tile 0 7
tile 15 7
tile 0 8
tile 15 8
tile 0 9
tile 15 9
tile 0 10
tile 1 10
tile 2 10
tile 3 10
tile 4 10
tile 5 10
tile 6 10
tile 9 10
tile 10 10
tile 11 10
tile 12 10
tile 13 10
tile 14 10
tile 15 10
tile 6 11
tile 9 11
tile 3 12
tile 4 12
tile 5 12
tile 6 12
tile 9 12
tile 10 12
tile 11 12
tile 12 12
tile 3 13
tile 12 13
tile 3 14
tile 12 14
tile 3 15
tile 12 15
tile 3 16
tile 12 16
tile 3 17
tile 4 17
tile 5 17
tile 6 17
tile 9 17
tile 10 17
tile 11 17
tile 12 17
tile 6 18
tile 9 18
tile 6 19
tile 9 19
tile 6 20
tile 9 20
tile 6 21
tile 9 21
tile 12 21
tile 13 21
tile 14 21
tile 15 21
tile 16 21
tile 17 21
tile 18 21
tile 19 21
tile 20 21
tile 21 21
tile 22 21
tile 23 21
tile 24 21
tile 6 22
tile 9 22
tile 12 22
tile 16 22
tile 20 22
tile 24 22
tile 4 23
tile 5 23
tile 6 23
tile 9 23
tile 10 23
tile 11 23
tile 12 23
tile 16 23
tile 20 23
tile 24 23
tile 25 23
tile 26 23
tile 27 23
tile 28 23
tile 29 23
tile 4 24
tile 29 24
tile 4 25
tile 29 25
tile 4 26
tile 7 26
tile 8 26
tile 9 26
tile 10 26
tile 11 26
tile 12 26
tile 16 26
tile 20 26
tile 24 26
tile 25 26
tile 26 26
tile 29 26
tile 4 27
tile 7 27
tile 12 27
tile 16 27
tile 20 27
tile 24 27
tile 26 27
tile 29 27
tile 4 28
tile 7 28
tile 12 28
tile 13 28
tile 14 28
tile 15 28
tile 16 28
tile 17 28
tile 18 28
tile 19 28
tile 20 28
tile 21 28
tile 22 28
tile 23 28
tile 24 28
tile 26 28
tile 29 28
tile 4 29
tile 7 29
tile 26 29
tile 29 29
tile 4 30
tile 7 30
tile 9 30
tile 10 30
tile 11 30
tile 12 30
tile 13 30
tile 14 30
tile 15 30
tile 16 30
tile 17 30
tile 18 30
tile 26 30
tile 29 30
tile 4 31
tile 7 31
tile 8 31
tile 9 31
tile 18 31
tile 26 31
tile 29 31
tile 4 32
tile 18 32
tile 26 32
tile 29 32
tile 4 33
tile 18 33
tile 26 33
tile 29 33
tile 4 34
tile 5 34
tile 6 34
tile 7 34
tile 8 34
tile 9 34
tile 18 34
tile 20 34
tile 21 34
tile 22 34
tile 23 34
tile 24 34
tile 25 34
tile 26 34
tile 29 34
tile 30 34
tile 31 34
tile 9 35
tile 18 35
tile 19 35
tile 20 35
tile 31 35
tile 9 36
tile 31 36
tile 9 37
tile 31 37
tile 9 38
tile 18 38
tile 19 38
tile 20 38
tile 31 38
tile 9 39
tile 18 39
tile 20 39
tile 21 39
tile 22 39
tile 23 39
tile 24 39
tile 27 39
tile 28 39
tile 29 39
tile 30 39
tile 31 39
tile 9 40
tile 10 40
tile 11 40
tile 12 40
tile 13 40
tile 14 40
tile 15 40
tile 16 40
tile 17 40
tile 18 40
tile 24 40
tile 27 40
tile 24 41
tile 25 41
tile 26 41
tile 27 41

# --- PLAYERS ---
player 26 40

# --- KNIFEENEMYS ---
knifeEnemy 9 5     9 5    5 7   12 8
knifeEnemy 5 7     5 7   12 8    9 5
knifeEnemy 12 8   12 8    9 5    5 7
knifeEnemy 8 16   11 16  11 13   4 13  4 16
knifeEnemy 17 22  17 22  19 22
knifeEnemy 5 27    5 27   6 31
knifeEnemy 27 27  27 27  28 32
knifeEnemy 12 34  12 34  15 34  15 38  12 38
knifeEnemy 21 38  21 38  21 35
knifeEnemy 30 35  30 35  30 38

# --- PISTOLENEMYS ---
pistolEnemy 23 27  23 27  21 27
pistolEnemy 16 31  16 31  11 31
pistolEnemy 11 39  11 39  16 39

# --- RIFLEENEMYS ---
rifleEnemy 2 2      2 2
rifleEnemy 13 2    13 2
rifleEnemy 11 13   11 13  4 13  4 16  11 16

# --- SHOTGUNENEMYS ---
shotgunEnemy 2 9    2 9    13 9 
shotgunEnemy 13 22  13 22  13 27

# --- PISTOLITEMS ---
pistolItem 25 40

# --- SHOTGUNITEMS ---
shotgunItem 14 27

# --- PISTOLAMMOITEMS ---
pistolAmmoItem 21 22
pistolAmmoItem 23 22
pistolAmmoItem 11 31

# --- SHOTGUNAMMOITEMS ---
shotgunAmmoItem 4 13

# --- HEALITEMS ---
healItem 7 5
healItem 4 16
healItem 18 27
healItem 5 33

